Iterations,Accuracy (%),ATK,Aggregator,seed,f,niid
300,90.20432692307692,GA,FGC,1,3,0.1
330,90.7451923076923,GA,FGC,1,3,0.1
360,91.0957532051282,GA,FGC,1,3,0.1
390,91.43629807692308,GA,FGC,1,3,0.1
420,92.08733974358974,GA,FGC,1,3,0.1
450,92.21754807692308,GA,FGC,1,3,0.1
480,92.48798076923077,GA,FGC,1,3,0.1
510,92.74839743589743,GA,FGC,1,3,0.1
540,93.10897435897436,GA,FGC,1,3,0.1
570,93.28926282051282,GA,FGC,1,3,0.1
600,93.54967948717949,GA,FGC,1,3,0.1
630,93.77003205128206,GA,FGC,1,3,0.1
660,93.95032051282051,GA,FGC,1,3,0.1
690,94.1005608974359,GA,FGC,1,3,0.1
720,94.31089743589743,GA,FGC,1,3,0.1
750,94.40104166666667,GA,FGC,1,3,0.1
780,94.54126602564102,GA,FGC,1,3,0.1
810,94.62139423076923,GA,FGC,1,3,0.1
840,94.77163461538461,GA,FGC,1,3,0.1
870,94.8417467948718,GA,FGC,1,3,0.1
900,94.91185897435898,GA,FGC,1,3,0.1
930,95.06209935897436,GA,FGC,1,3,0.1
960,95.2323717948718,GA,FGC,1,3,0.1
990,95.1923076923077,GA,FGC,1,3,0.1
1020,95.30248397435898,GA,FGC,1,3,0.1
1050,95.61298076923077,GA,FGC,1,3,0.1
1080,95.5829326923077,GA,FGC,1,3,0.1
1110,95.54286858974359,GA,FGC,1,3,0.1
1140,95.81330128205128,GA,FGC,1,3,0.1
1170,95.8233173076923,GA,FGC,1,3,0.1
1200,95.84334935897436,GA,FGC,1,3,0.1
1230,95.99358974358974,GA,FGC,1,3,0.1
1260,96.16386217948718,GA,FGC,1,3,0.1
1290,96.19391025641026,GA,FGC,1,3,0.1
1320,96.14383012820512,GA,FGC,1,3,0.1
1350,96.23397435897436,GA,FGC,1,3,0.1
1380,96.33413461538461,GA,FGC,1,3,0.1
1410,96.49439102564102,GA,FGC,1,3,0.1
1440,96.49439102564102,GA,FGC,1,3,0.1
1470,96.54447115384616,GA,FGC,1,3,0.1
1500,96.65464743589743,GA,FGC,1,3,0.1
30,46.774839743589745,GA,FGC,1,4,0.1
60,71.84495192307692,GA,FGC,1,4,0.1
90,78.0849358974359,GA,FGC,1,4,0.1
120,80.99959935897436,GA,FGC,1,4,0.1
