Iterations,Accuracy (%),niid,Aggregator,seed,f
210,44.36097756410256,0.5,Average,1,6
240,42.72836538461539,0.5,Average,1,6
270,39.733573717948715,0.5,Average,1,6
300,28.325320512820515,0.5,Average,1,6
330,25.921474358974358,0.5,Average,1,6
360,30.759214743589745,0.5,Average,1,6
390,28.866185897435898,0.5,Average,1,6
420,25.260416666666668,0.5,Average,1,6
450,27.04326923076923,0.5,Average,1,6
480,27.704326923076923,0.5,Average,1,6
510,30.39863782051282,0.5,Average,1,6
540,26.762820512820515,0.5,Average,1,6
570,30.14823717948718,0.5,Average,1,6
600,32.72235576923077,0.5,Average,1,6
630,29.176682692307693,0.5,Average,1,6
660,36.66866987179487,0.5,Average,1,6
690,30.959535256410255,0.5,Average,1,6
720,34.19471153846154,0.5,Average,1,6
750,49.118589743589745,0.5,Average,1,6
780,31.640625,0.5,Average,1,6
810,26.15184294871795,0.5,Average,1,6
840,24.90985576923077,0.5,Average,1,6
870,23.697916666666668,0.5,Average,1,6
900,24.318910256410255,0.5,Average,1,6
930,20.10216346153846,0.5,Average,1,6
960,17.20753205128205,0.5,Average,1,6
990,14.533253205128204,0.5,Average,1,6
1020,19.701522435897434,0.5,Average,1,6
1050,15.14423076923077,0.5,Average,1,6
1080,17.337740384615383,0.5,Average,1,6
1110,16.256009615384617,0.5,Average,1,6
1140,13.161057692307692,0.5,Average,1,6
1170,18.03886217948718,0.5,Average,1,6
1200,13.010817307692308,0.5,Average,1,6
1230,25.18028846153846,0.5,Average,1,6
1260,23.237179487179485,0.5,Average,1,6
1290,18.07892628205128,0.5,Average,1,6
1320,23.477564102564102,0.5,Average,1,6
1350,27.373798076923077,0.5,Average,1,6
1380,18.479567307692307,0.5,Average,1,6
1410,21.334134615384617,0.5,Average,1,6
1440,22.205528846153847,0.5,Average,1,6
1470,19.491185897435898,0.5,Average,1,6
1500,21.98517628205128,0.5,Average,1,6
30,20.442708333333332,0.7,Average,1,6
60,21.915064102564102,0.7,Average,1,6
90,13.451522435897436,0.7,Average,1,6
120,23.147035256410255,0.7,Average,1,6
150,20.442708333333332,0.7,Average,1,6
180,26.622596153846153,0.7,Average,1,6
210,30.74919871794872,0.7,Average,1,6
240,31.119791666666668,0.7,Average,1,6
270,16.346153846153847,0.7,Average,1,6
300,14.993990384615385,0.7,Average,1,6
330,18.349358974358974,0.7,Average,1,6
360,16.08573717948718,0.7,Average,1,6
390,10.857371794871796,0.7,Average,1,6
420,14.29286858974359,0.7,Average,1,6
450,12.550080128205128,0.7,Average,1,6
480,15.164262820512821,0.7,Average,1,6
510,17.327724358974358,0.7,Average,1,6
540,13.28125,0.7,Average,1,6
570,17.27764423076923,0.7,Average,1,6
600,14.36298076923077,0.7,Average,1,6
630,10.817307692307692,0.7,Average,1,6
660,17.638221153846153,0.7,Average,1,6
690,18.37940705128205,0.7,Average,1,6
720,12.710336538461538,0.7,Average,1,6
750,13.53165064102564,0.7,Average,1,6
780,16.235977564102566,0.7,Average,1,6
810,22.596153846153847,0.7,Average,1,6
840,10.45673076923077,0.7,Average,1,6
870,10.967548076923077,0.7,Average,1,6
900,9.475160256410257,0.7,Average,1,6
930,21.41426282051282,0.7,Average,1,6
960,12.01923076923077,0.7,Average,1,6
990,13.711939102564102,0.7,Average,1,6
1020,20.42267628205128,0.7,Average,1,6
1050,16.306089743589745,0.7,Average,1,6
1080,12.710336538461538,0.7,Average,1,6
1110,10.446714743589743,0.7,Average,1,6
1140,10.867387820512821,0.7,Average,1,6
1170,12.950721153846153,0.7,Average,1,6
1200,11.999198717948717,0.7,Average,1,6
1230,14.31290064102564,0.7,Average,1,6
1260,11.217948717948717,0.7,Average,1,6
1290,12.740384615384615,0.7,Average,1,6
1320,11.318108974358974,0.7,Average,1,6
1350,10.616987179487179,0.7,Average,1,6
1380,8.43349358974359,0.7,Average,1,6
1410,10.907451923076923,0.7,Average,1,6
1440,10.566907051282051,0.7,Average,1,6
1470,12.329727564102564,0.7,Average,1,6
1500,10.526842948717949,0.7,Average,1,6
30,12.950721153846153,0.3,Average,2,6
60,17.98878205128205,0.3,Average,2,6
90,34.49519230769231,0.3,Average,2,6
120,54.27684294871795,0.3,Average,2,6
150,51.57251602564103,0.3,Average,2,6
180,42.107371794871796,0.3,Average,2,6
210,48.97836538461539,0.3,Average,2,6
240,52.864583333333336,0.3,Average,2,6
270,58.68389423076923,0.3,Average,2,6
300,52.37379807692308,0.3,Average,2,6
330,71.39423076923077,0.3,Average,2,6
360,71.68469551282051,0.3,Average,2,6
390,62.5,0.3,Average,2,6
420,69.4911858974359,0.3,Average,2,6
450,65.25440705128206,0.3,Average,2,6
480,64.73357371794872,0.3,Average,2,6
510,70.90344551282051,0.3,Average,2,6
540,58.61378205128205,0.3,Average,2,6
570,50.05008012820513,0.3,Average,2,6
600,56.96113782051282,0.3,Average,2,6
630,35.59695512820513,0.3,Average,2,6
660,30.819310897435898,0.3,Average,2,6
690,54.186698717948715,0.3,Average,2,6
720,58.984375,0.3,Average,2,6
750,73.10697115384616,0.3,Average,2,6
780,43.33934294871795,0.3,Average,2,6
810,54.50721153846154,0.3,Average,2,6
840,39.03245192307692,0.3,Average,2,6
870,55.67908653846154,0.3,Average,2,6
900,63.04086538461539,0.3,Average,2,6
930,60.34655448717949,0.3,Average,2,6
960,38.88221153846154,0.3,Average,2,6
990,50.72115384615385,0.3,Average,2,6
1020,52.40384615384615,0.3,Average,2,6
1050,43.469551282051285,0.3,Average,2,6
1080,39.77363782051282,0.3,Average,2,6
1110,35.51682692307692,0.3,Average,2,6
1140,58.13301282051282,0.3,Average,2,6
1170,44.36097756410256,0.3,Average,2,6
1200,44.841746794871796,0.3,Average,2,6
1230,40.56490384615385,0.3,Average,2,6
1260,37.580128205128204,0.3,Average,2,6
1290,28.365384615384617,0.3,Average,2,6
1320,32.57211538461539,0.3,Average,2,6
1350,39.8838141025641,0.3,Average,2,6
1380,36.15785256410256,0.3,Average,2,6
1410,26.903044871794872,0.3,Average,2,6
1440,28.615785256410255,0.3,Average,2,6
1470,27.66426282051282,0.3,Average,2,6
1500,31.36017628205128,0.3,Average,2,6
30,20.252403846153847,0.5,Average,2,6
60,17.427884615384617,0.5,Average,2,6
90,31.901041666666668,0.5,Average,2,6
120,37.32972756410256,0.5,Average,2,6
150,37.03926282051282,0.5,Average,2,6
180,40.17427884615385,0.5,Average,2,6
210,31.520432692307693,0.5,Average,2,6
240,41.296073717948715,0.5,Average,2,6
270,35.9775641025641,0.5,Average,2,6
300,32.69230769230769,0.5,Average,2,6
330,48.517628205128204,0.5,Average,2,6
360,31.470352564102566,0.5,Average,2,6
390,29.45713141025641,0.5,Average,2,6
420,18.93028846153846,0.5,Average,2,6
450,21.424278846153847,0.5,Average,2,6
480,19.391025641025642,0.5,Average,2,6
510,27.033253205128204,0.5,Average,2,6
540,31.640625,0.5,Average,2,6
570,21.905048076923077,0.5,Average,2,6
600,32.40184294871795,0.5,Average,2,6
630,18.319310897435898,0.5,Average,2,6
660,22.19551282051282,0.5,Average,2,6
690,34.40504807692308,0.5,Average,2,6
720,32.05128205128205,0.5,Average,2,6
750,22.135416666666668,0.5,Average,2,6
780,25.681089743589745,0.5,Average,2,6
810,19.60136217948718,0.5,Average,2,6
840,17.27764423076923,0.5,Average,2,6
870,15.354567307692308,0.5,Average,2,6
900,17.96875,0.5,Average,2,6
930,22.325721153846153,0.5,Average,2,6
960,24.098557692307693,0.5,Average,2,6
990,20.362580128205128,0.5,Average,2,6
1020,26.532451923076923,0.5,Average,2,6
1050,24.78966346153846,0.5,Average,2,6
1080,19.71153846153846,0.5,Average,2,6
1110,32.56209935897436,0.5,Average,2,6
1140,21.133814102564102,0.5,Average,2,6
1170,18.82011217948718,0.5,Average,2,6
1200,15.87540064102564,0.5,Average,2,6
1230,19.62139423076923,0.5,Average,2,6
1260,27.193509615384617,0.5,Average,2,6
1290,25.010016025641026,0.5,Average,2,6
1320,28.475560897435898,0.5,Average,2,6
1350,27.62419871794872,0.5,Average,2,6
1380,28.615785256410255,0.5,Average,2,6
1410,28.936298076923077,0.5,Average,2,6
1440,24.669471153846153,0.5,Average,2,6
1470,35.95753205128205,0.5,Average,2,6
1500,27.84455128205128,0.5,Average,2,6
30,9.815705128205128,0.7,Average,2,6
60,13.151041666666666,0.7,Average,2,6
90,27.674278846153847,0.7,Average,2,6
120,27.794471153846153,0.7,Average,2,6
150,25.100160256410255,0.7,Average,2,6
180,28.99639423076923,0.7,Average,2,6
210,18.018830128205128,0.7,Average,2,6
240,25.430689102564102,0.7,Average,2,6
270,17.497996794871796,0.7,Average,2,6
300,26.692708333333332,0.7,Average,2,6
330,25.50080128205128,0.7,Average,2,6
360,22.706330128205128,0.7,Average,2,6
390,11.268028846153847,0.7,Average,2,6
420,11.278044871794872,0.7,Average,2,6
450,12.089342948717949,0.7,Average,2,6
480,10.727163461538462,0.7,Average,2,6
510,14.022435897435898,0.7,Average,2,6
540,15.454727564102564,0.7,Average,2,6
570,15.504807692307692,0.7,Average,2,6
600,11.318108974358974,0.7,Average,2,6
630,9.955929487179487,0.7,Average,2,6
660,16.95713141025641,0.7,Average,2,6
690,14.513221153846153,0.7,Average,2,6
720,19.751602564102566,0.7,Average,2,6
750,12.680288461538462,0.7,Average,2,6
780,13.621794871794872,0.7,Average,2,6
810,11.207932692307692,0.7,Average,2,6
840,17.337740384615383,0.7,Average,2,6
870,10.24639423076923,0.7,Average,2,6
900,11.838942307692308,0.7,Average,2,6
930,19.55128205128205,0.7,Average,2,6
960,13.14102564102564,0.7,Average,2,6
990,12.029246794871796,0.7,Average,2,6
1020,14.182692307692308,0.7,Average,2,6
1050,12.740384615384615,0.7,Average,2,6
1080,11.919070512820513,0.7,Average,2,6
1110,12.560096153846153,0.7,Average,2,6
1140,9.815705128205128,0.7,Average,2,6
1170,9.645432692307692,0.7,Average,2,6
1200,11.48838141025641,0.7,Average,2,6
1230,11.528445512820513,0.7,Average,2,6
1260,10.516826923076923,0.7,Average,2,6
1290,10.817307692307692,0.7,Average,2,6
1320,9.815705128205128,0.7,Average,2,6
1350,9.815705128205128,0.7,Average,2,6
1380,9.815705128205128,0.7,Average,2,6
1410,11.588541666666666,0.7,Average,2,6
1440,10.286458333333334,0.7,Average,2,6
1470,14.893830128205128,0.7,Average,2,6
1500,11.46834935897436,0.7,Average,2,6
30,30.659054487179485,0.3,Average,3,6
60,32.01121794871795,0.3,Average,3,6
90,33.89423076923077,0.3,Average,3,6
120,44.59134615384615,0.3,Average,3,6
150,58.97435897435897,0.3,Average,3,6
180,55.90945512820513,0.3,Average,3,6
210,58.32331730769231,0.3,Average,3,6
240,53.03485576923077,0.3,Average,3,6
270,55.178285256410255,0.3,Average,3,6
300,44.5713141025641,0.3,Average,3,6
330,57.83253205128205,0.3,Average,3,6
360,60.92748397435897,0.3,Average,3,6
390,67.6582532051282,0.3,Average,3,6
420,67.42788461538461,0.3,Average,3,6
450,57.98277243589744,0.3,Average,3,6
480,55.568910256410255,0.3,Average,3,6
510,49.43910256410256,0.3,Average,3,6
540,48.747996794871796,0.3,Average,3,6
570,35.29647435897436,0.3,Average,3,6
600,43.97035256410256,0.3,Average,3,6
630,32.82251602564103,0.3,Average,3,6
660,25.681089743589745,0.3,Average,3,6
690,38.33133012820513,0.3,Average,3,6
720,49.44911858974359,0.3,Average,3,6
750,56.921073717948715,0.3,Average,3,6
780,47.23557692307692,0.3,Average,3,6
810,51.51241987179487,0.3,Average,3,6
840,41.78685897435897,0.3,Average,3,6
870,20.33253205128205,0.3,Average,3,6
900,20.29246794871795,0.3,Average,3,6
930,16.716746794871796,0.3,Average,3,6
960,33.86418269230769,0.3,Average,3,6
990,34.10456730769231,0.3,Average,3,6
1020,16.937099358974358,0.3,Average,3,6
1050,47.56610576923077,0.3,Average,3,6
1080,40.81530448717949,0.3,Average,3,6
1110,37.07932692307692,0.3,Average,3,6
1140,29.98798076923077,0.3,Average,3,6
1170,35.49679487179487,0.3,Average,3,6
1200,47.89663461538461,0.3,Average,3,6
1230,30.23838141025641,0.3,Average,3,6
1260,27.71434294871795,0.3,Average,3,6
