Iterations,Accuracy (%),niid,Aggregator,seed,f
2940,9.985977564102564,0.7,Average,1,6
2970,9.845753205128204,0.7,Average,1,6
3000,10.006009615384615,0.7,Average,1,6
30,16.135817307692307,0.3,Average,2,6
60,16.03565705128205,0.3,Average,2,6
90,7.702323717948718,0.3,Average,2,6
120,10.9375,0.3,Average,2,6
150,15.124198717948717,0.3,Average,2,6
180,15.935496794871796,0.3,Average,2,6
210,17.938701923076923,0.3,Average,2,6
240,11.157852564102564,0.3,Average,2,6
270,15.244391025641026,0.3,Average,2,6
300,12.610176282051283,0.3,Average,2,6
330,15.124198717948717,0.3,Average,2,6
360,11.478365384615385,0.3,Average,2,6
390,14.903846153846153,0.3,Average,2,6
420,10.476762820512821,0.3,Average,2,6
450,18.389423076923077,0.3,Average,2,6
480,17.27764423076923,0.3,Average,2,6
510,9.945913461538462,0.3,Average,2,6
540,10.84735576923077,0.3,Average,2,6
570,16.676682692307693,0.3,Average,2,6
600,10.837339743589743,0.3,Average,2,6
630,12.690304487179487,0.3,Average,2,6
660,19.340945512820515,0.3,Average,2,6
690,15.745192307692308,0.3,Average,2,6
720,15.705128205128204,0.3,Average,2,6
750,20.022035256410255,0.3,Average,2,6
780,13.81209935897436,0.3,Average,2,6
810,17.197516025641026,0.3,Average,2,6
840,17.778445512820515,0.3,Average,2,6
870,13.872195512820513,0.3,Average,2,6
900,15.414663461538462,0.3,Average,2,6
930,19.481169871794872,0.3,Average,2,6
960,13.992387820512821,0.3,Average,2,6
990,21.78485576923077,0.3,Average,2,6
1020,15.264423076923077,0.3,Average,2,6
1050,15.274439102564102,0.3,Average,2,6
1080,22.015224358974358,0.3,Average,2,6
1110,11.62860576923077,0.3,Average,2,6
1140,20.042067307692307,0.3,Average,2,6
1170,19.290865384615383,0.3,Average,2,6
1200,11.197916666666666,0.3,Average,2,6
1230,16.90705128205128,0.3,Average,2,6
1260,16.47636217948718,0.3,Average,2,6
1290,17.067307692307693,0.3,Average,2,6
1320,22.49599358974359,0.3,Average,2,6
1350,20.022035256410255,0.3,Average,2,6
1380,19.200721153846153,0.3,Average,2,6
1410,17.48798076923077,0.3,Average,2,6
1440,18.068910256410255,0.3,Average,2,6
1470,13.331330128205128,0.3,Average,2,6
1500,17.29767628205128,0.3,Average,2,6
1530,17.237580128205128,0.3,Average,2,6
1560,15.424679487179487,0.3,Average,2,6
1590,15.945512820512821,0.3,Average,2,6
1620,11.007612179487179,0.3,Average,2,6
1650,17.94871794871795,0.3,Average,2,6
1680,17.658253205128204,0.3,Average,2,6
1710,17.16746794871795,0.3,Average,2,6
1740,16.937099358974358,0.3,Average,2,6
1770,18.07892628205128,0.3,Average,2,6
1800,15.284455128205128,0.3,Average,2,6
1830,19.481169871794872,0.3,Average,2,6
1860,18.17908653846154,0.3,Average,2,6
1890,17.107371794871796,0.3,Average,2,6
1920,17.64823717948718,0.3,Average,2,6
1950,15.78525641025641,0.3,Average,2,6
1980,20.643028846153847,0.3,Average,2,6
2010,17.548076923076923,0.3,Average,2,6
2040,11.818910256410257,0.3,Average,2,6
2070,19.591346153846153,0.3,Average,2,6
2100,15.424679487179487,0.3,Average,2,6
2130,17.20753205128205,0.3,Average,2,6
2160,16.065705128205128,0.3,Average,2,6
2190,18.739983974358974,0.3,Average,2,6
2220,16.065705128205128,0.3,Average,2,6
2250,17.888621794871796,0.3,Average,2,6
2280,18.409455128205128,0.3,Average,2,6
2310,20.743189102564102,0.3,Average,2,6
2340,23.768028846153847,0.3,Average,2,6
2370,22.205528846153847,0.3,Average,2,6
2400,21.624599358974358,0.3,Average,2,6
2430,22.35576923076923,0.3,Average,2,6
2460,22.966746794871796,0.3,Average,2,6
2490,22.696314102564102,0.3,Average,2,6
2520,22.74639423076923,0.3,Average,2,6
2550,22.666266025641026,0.3,Average,2,6
2580,21.494391025641026,0.3,Average,2,6
2610,23.127003205128204,0.3,Average,2,6
2640,21.824919871794872,0.3,Average,2,6
2670,23.50761217948718,0.3,Average,2,6
2700,23.407451923076923,0.3,Average,2,6
2730,21.57451923076923,0.3,Average,2,6
2760,24.58934294871795,0.3,Average,2,6
2790,23.98838141025641,0.3,Average,2,6
2820,25.030048076923077,0.3,Average,2,6
2850,26.071714743589745,0.3,Average,2,6
2880,23.407451923076923,0.3,Average,2,6
2910,24.779647435897434,0.3,Average,2,6
2940,24.689503205128204,0.3,Average,2,6
2970,20.322516025641026,0.3,Average,2,6
3000,24.048477564102566,0.3,Average,2,6
30,10.01602564102564,0.5,Average,2,6
60,9.985977564102564,0.5,Average,2,6
90,9.12459935897436,0.5,Average,2,6
120,9.965945512820513,0.5,Average,2,6
150,9.985977564102564,0.5,Average,2,6
180,9.985977564102564,0.5,Average,2,6
210,9.67548076923077,0.5,Average,2,6
240,10.807291666666666,0.5,Average,2,6
270,10.01602564102564,0.5,Average,2,6
300,10.01602564102564,0.5,Average,2,6
330,9.985977564102564,0.5,Average,2,6
360,9.985977564102564,0.5,Average,2,6
390,10.036057692307692,0.5,Average,2,6
420,10.01602564102564,0.5,Average,2,6
450,10.026041666666666,0.5,Average,2,6
480,10.056089743589743,0.5,Average,2,6
510,9.99599358974359,0.5,Average,2,6
540,10.01602564102564,0.5,Average,2,6
570,9.985977564102564,0.5,Average,2,6
600,9.985977564102564,0.5,Average,2,6
630,10.036057692307692,0.5,Average,2,6
660,9.985977564102564,0.5,Average,2,6
690,10.01602564102564,0.5,Average,2,6
720,10.01602564102564,0.5,Average,2,6
750,10.01602564102564,0.5,Average,2,6
780,9.985977564102564,0.5,Average,2,6
810,10.006009615384615,0.5,Average,2,6
840,9.985977564102564,0.5,Average,2,6
870,10.026041666666666,0.5,Average,2,6
900,9.985977564102564,0.5,Average,2,6
930,9.985977564102564,0.5,Average,2,6
960,9.975961538461538,0.5,Average,2,6
990,9.985977564102564,0.5,Average,2,6
1020,10.01602564102564,0.5,Average,2,6
1050,9.985977564102564,0.5,Average,2,6
1080,9.99599358974359,0.5,Average,2,6
1110,9.985977564102564,0.5,Average,2,6
1140,9.99599358974359,0.5,Average,2,6
1170,10.026041666666666,0.5,Average,2,6
1200,10.006009615384615,0.5,Average,2,6
1230,10.006009615384615,0.5,Average,2,6
1260,10.01602564102564,0.5,Average,2,6
1290,9.985977564102564,0.5,Average,2,6
1320,10.01602564102564,0.5,Average,2,6
1350,10.006009615384615,0.5,Average,2,6
1380,10.01602564102564,0.5,Average,2,6
1410,10.01602564102564,0.5,Average,2,6
1440,9.985977564102564,0.5,Average,2,6
1470,10.006009615384615,0.5,Average,2,6
1500,10.01602564102564,0.5,Average,2,6
1530,10.01602564102564,0.5,Average,2,6
1560,10.01602564102564,0.5,Average,2,6
1590,9.985977564102564,0.5,Average,2,6
1620,9.99599358974359,0.5,Average,2,6
1650,9.985977564102564,0.5,Average,2,6
1680,9.985977564102564,0.5,Average,2,6
1710,9.985977564102564,0.5,Average,2,6
1740,9.975961538461538,0.5,Average,2,6
1770,9.985977564102564,0.5,Average,2,6
1800,9.975961538461538,0.5,Average,2,6
1830,9.985977564102564,0.5,Average,2,6
1860,9.965945512820513,0.5,Average,2,6
1890,9.985977564102564,0.5,Average,2,6
1920,9.985977564102564,0.5,Average,2,6
