Iterations,Accuracy (%),ATK,Aggregator,seed,f
1110,57.08133012820513,SF,AVG,1,5
1140,56.96113782051282,SF,AVG,1,5
1170,57.48197115384615,SF,AVG,1,5
1200,58.43349358974359,SF,AVG,1,5
1230,58.73397435897436,SF,AVG,1,5
1260,59.07451923076923,SF,AVG,1,5
1290,59.16466346153846,SF,AVG,1,5
1320,59.34495192307692,SF,AVG,1,5
1350,59.96594551282051,SF,AVG,1,5
1380,60.01602564102564,SF,AVG,1,5
1410,60.63701923076923,SF,AVG,1,5
1440,61.07772435897436,SF,AVG,1,5
1470,61.197916666666664,SF,AVG,1,5
1500,62.29967948717949,SF,AVG,1,5
1530,61.50841346153846,SF,AVG,1,5
1560,62.8505608974359,SF,AVG,1,5
1590,62.86057692307692,SF,AVG,1,5
1620,61.197916666666664,SF,AVG,1,5
1650,62.80048076923077,SF,AVG,1,5
1680,62.34975961538461,SF,AVG,1,5
1710,63.69190705128205,SF,AVG,1,5
1740,64.48317307692308,SF,AVG,1,5
1770,64.21274038461539,SF,AVG,1,5
1800,64.04246794871794,SF,AVG,1,5
1830,64.5733173076923,SF,AVG,1,5
1860,64.7636217948718,SF,AVG,1,5
1890,64.8036858974359,SF,AVG,1,5
1920,65.09415064102564,SF,AVG,1,5
1950,64.7636217948718,SF,AVG,1,5
1980,65.38461538461539,SF,AVG,1,5
2010,65.77524038461539,SF,AVG,1,5
2040,65.88541666666667,SF,AVG,1,5
2070,66.37620192307692,SF,AVG,1,5
2100,66.15584935897436,SF,AVG,1,5
2130,66.35616987179488,SF,AVG,1,5
2160,66.41626602564102,SF,AVG,1,5
2190,66.85697115384616,SF,AVG,1,5
2220,67.20753205128206,SF,AVG,1,5
2250,66.43629807692308,SF,AVG,1,5
2280,67.76842948717949,SF,AVG,1,5
2310,67.80849358974359,SF,AVG,1,5
2340,67.99879807692308,SF,AVG,1,5
2370,67.96875,SF,AVG,1,5
2400,67.86858974358974,SF,AVG,1,5
2430,68.16907051282051,SF,AVG,1,5
2460,68.12900641025641,SF,AVG,1,5
2490,68.13902243589743,SF,AVG,1,5
2520,68.2792467948718,SF,AVG,1,5
2550,68.30929487179488,SF,AVG,1,5
2580,68.20913461538461,SF,AVG,1,5
2610,68.36939102564102,SF,AVG,1,5
2640,68.2792467948718,SF,AVG,1,5
2670,68.2792467948718,SF,AVG,1,5
2700,68.03886217948718,SF,AVG,1,5
2730,68.41947115384616,SF,AVG,1,5
2760,68.29927884615384,SF,AVG,1,5
2790,68.06891025641026,SF,AVG,1,5
2820,68.2391826923077,SF,AVG,1,5
2850,68.49959935897436,SF,AVG,1,5
2880,68.22916666666667,SF,AVG,1,5
2910,68.40945512820512,SF,AVG,1,5
2940,68.41947115384616,SF,AVG,1,5
2970,68.46955128205128,SF,AVG,1,5
3000,68.38942307692308,SF,AVG,1,5
30,23.80809294871795,LF,AVG,1,5
60,29.84775641025641,LF,AVG,1,5
90,35.88741987179487,LF,AVG,1,5
120,36.25801282051282,LF,AVG,1,5
150,38.561698717948715,LF,AVG,1,5
180,38.88221153846154,LF,AVG,1,5
210,41.61658653846154,LF,AVG,1,5
240,44.15064102564103,LF,AVG,1,5
270,44.38100961538461,LF,AVG,1,5
300,46.36418269230769,LF,AVG,1,5
330,47.92668269230769,LF,AVG,1,5
360,50.09014423076923,LF,AVG,1,5
390,51.03165064102564,LF,AVG,1,5
420,50.95152243589744,LF,AVG,1,5
450,52.37379807692308,LF,AVG,1,5
480,55.09815705128205,LF,AVG,1,5
510,54.46714743589744,LF,AVG,1,5
540,54.84775641025641,LF,AVG,1,5
570,57.40184294871795,LF,AVG,1,5
600,56.350160256410255,LF,AVG,1,5
630,57.66225961538461,LF,AVG,1,5
660,58.333333333333336,LF,AVG,1,5
690,57.892628205128204,LF,AVG,1,5
720,60.71714743589744,LF,AVG,1,5
750,60.30649038461539,LF,AVG,1,5
780,59.685496794871796,LF,AVG,1,5
810,62.62019230769231,LF,AVG,1,5
840,62.44991987179487,LF,AVG,1,5
870,62.990785256410255,LF,AVG,1,5
900,64.05248397435898,LF,AVG,1,5
930,64.54326923076923,LF,AVG,1,5
960,63.83213141025641,LF,AVG,1,5
990,64.0224358974359,LF,AVG,1,5
1020,65.92548076923077,LF,AVG,1,5
1050,66.1358173076923,LF,AVG,1,5
1080,65.30448717948718,LF,AVG,1,5
1110,66.77684294871794,LF,AVG,1,5
1140,67.4579326923077,LF,AVG,1,5
1170,68.91025641025641,LF,AVG,1,5
1200,67.58814102564102,LF,AVG,1,5
1230,69.53125,LF,AVG,1,5
1260,66.94711538461539,LF,AVG,1,5
1290,68.54967948717949,LF,AVG,1,5
1320,68.90024038461539,LF,AVG,1,5
1350,70.56290064102564,LF,AVG,1,5
1380,70.3926282051282,LF,AVG,1,5
1410,67.54807692307692,LF,AVG,1,5
1440,69.6514423076923,LF,AVG,1,5
1470,71.0536858974359,LF,AVG,1,5
1500,70.51282051282051,LF,AVG,1,5
1530,70.85336538461539,LF,AVG,1,5
1560,68.4795673076923,LF,AVG,1,5
1590,71.86498397435898,LF,AVG,1,5
1620,70.53285256410257,LF,AVG,1,5
1650,71.11378205128206,LF,AVG,1,5
1680,72.08533653846153,LF,AVG,1,5
1710,73.02684294871794,LF,AVG,1,5
1740,73.50761217948718,LF,AVG,1,5
1770,72.42588141025641,LF,AVG,1,5
1800,72.72636217948718,LF,AVG,1,5
1830,71.96514423076923,LF,AVG,1,5
1860,72.55608974358974,LF,AVG,1,5
1890,72.15544871794872,LF,AVG,1,5
1920,72.5360576923077,LF,AVG,1,5
1950,73.36738782051282,LF,AVG,1,5
1980,74.5693108974359,LF,AVG,1,5
2010,73.99839743589743,LF,AVG,1,5
2040,73.42748397435898,LF,AVG,1,5
2070,73.01682692307692,LF,AVG,1,5
2100,74.98998397435898,LF,AVG,1,5
2130,73.1270032051282,LF,AVG,1,5
2160,73.02684294871794,LF,AVG,1,5
2190,74.96995192307692,LF,AVG,1,5
2220,73.37740384615384,LF,AVG,1,5
2250,73.36738782051282,LF,AVG,1,5
2280,77.57411858974359,LF,AVG,1,5
2310,77.56410256410257,LF,AVG,1,5
2340,77.90464743589743,LF,AVG,1,5
2370,77.62419871794872,LF,AVG,1,5
