Iterations,Accuracy (%),ATK,Aggregator,seed,f,niid
30,56.00961538461539,SF,GM,1,1,0.5
60,79.27684294871794,SF,GM,1,1,0.5
90,81.88100961538461,SF,GM,1,1,0.5
120,85.52684294871794,SF,GM,1,1,0.5
150,87.48998397435898,SF,GM,1,1,0.5
180,87.74038461538461,SF,GM,1,1,0.5
210,88.93229166666667,SF,GM,1,1,0.5
240,90.42467948717949,SF,GM,1,1,0.5
270,90.95552884615384,SF,GM,1,1,0.5
300,91.6766826923077,SF,GM,1,1,0.5
330,92.02724358974359,SF,GM,1,1,0.5
360,92.44791666666667,SF,GM,1,1,0.5
390,92.89863782051282,SF,GM,1,1,0.5
420,93.32932692307692,SF,GM,1,1,0.5
450,93.72996794871794,SF,GM,1,1,0.5
480,94.08052884615384,SF,GM,1,1,0.5
510,94.17067307692308,SF,GM,1,1,0.5
540,94.75160256410257,SF,GM,1,1,0.5
570,94.64142628205128,SF,GM,1,1,0.5
600,94.83173076923077,SF,GM,1,1,0.5
630,95.13221153846153,SF,GM,1,1,0.5
660,95.0020032051282,SF,GM,1,1,0.5
690,95.49278846153847,SF,GM,1,1,0.5
720,95.34254807692308,SF,GM,1,1,0.5
750,95.67307692307692,SF,GM,1,1,0.5
780,95.8233173076923,SF,GM,1,1,0.5
810,95.84334935897436,SF,GM,1,1,0.5
840,96.07371794871794,SF,GM,1,1,0.5
870,96.27403846153847,SF,GM,1,1,0.5
900,96.22395833333333,SF,GM,1,1,0.5
930,96.51442307692308,SF,GM,1,1,0.5
960,96.50440705128206,SF,GM,1,1,0.5
990,96.65464743589743,SF,GM,1,1,0.5
1020,96.58453525641026,SF,GM,1,1,0.5
1050,96.81490384615384,SF,GM,1,1,0.5
1080,96.80488782051282,SF,GM,1,1,0.5
1110,96.93509615384616,SF,GM,1,1,0.5
1140,96.7948717948718,SF,GM,1,1,0.5
1170,96.9951923076923,SF,GM,1,1,0.5
1200,97.09535256410257,SF,GM,1,1,0.5
1230,97.13541666666667,SF,GM,1,1,0.5
1260,97.24559294871794,SF,GM,1,1,0.5
1290,97.32572115384616,SF,GM,1,1,0.5
1320,97.40584935897436,SF,GM,1,1,0.5
1350,97.37580128205128,SF,GM,1,1,0.5
1380,97.50600961538461,SF,GM,1,1,0.5
1410,97.48597756410257,SF,GM,1,1,0.5
1440,97.3858173076923,SF,GM,1,1,0.5
1470,97.56610576923077,SF,GM,1,1,0.5
1500,97.48597756410257,SF,GM,1,1,0.5
30,56.49038461538461,SF,GM,1,2,0.5
60,72.56610576923077,SF,GM,1,2,0.5
90,79.39703525641026,SF,GM,1,2,0.5
120,82.0713141025641,SF,GM,1,2,0.5
150,85.38661858974359,SF,GM,1,2,0.5
180,86.15785256410257,SF,GM,1,2,0.5
210,87.91065705128206,SF,GM,1,2,0.5
240,88.25120192307692,SF,GM,1,2,0.5
270,89.3329326923077,SF,GM,1,2,0.5
300,89.81370192307692,SF,GM,1,2,0.5
330,90.2744391025641,SF,GM,1,2,0.5
360,91.34615384615384,SF,GM,1,2,0.5
390,91.51642628205128,SF,GM,1,2,0.5
420,92.02724358974359,SF,GM,1,2,0.5
450,92.04727564102564,SF,GM,1,2,0.5
480,93.22916666666667,SF,GM,1,2,0.5
510,93.40945512820512,SF,GM,1,2,0.5
540,93.61979166666667,SF,GM,1,2,0.5
570,93.67988782051282,SF,GM,1,2,0.5
600,94.0204326923077,SF,GM,1,2,0.5
630,94.08052884615384,SF,GM,1,2,0.5
660,94.2207532051282,SF,GM,1,2,0.5
690,94.6113782051282,SF,GM,1,2,0.5
720,94.63141025641026,SF,GM,1,2,0.5
750,94.72155448717949,SF,GM,1,2,0.5
780,94.6113782051282,SF,GM,1,2,0.5
810,95.24238782051282,SF,GM,1,2,0.5
840,95.14222756410257,SF,GM,1,2,0.5
870,95.41266025641026,SF,GM,1,2,0.5
900,95.60296474358974,SF,GM,1,2,0.5
930,95.5829326923077,SF,GM,1,2,0.5
960,95.5829326923077,SF,GM,1,2,0.5
990,95.71314102564102,SF,GM,1,2,0.5
1020,95.95352564102564,SF,GM,1,2,0.5
1050,95.92347756410257,SF,GM,1,2,0.5
1080,96.08373397435898,SF,GM,1,2,0.5
1110,96.0136217948718,SF,GM,1,2,0.5
1140,96.29407051282051,SF,GM,1,2,0.5
1170,96.47435897435898,SF,GM,1,2,0.5
1200,96.41426282051282,SF,GM,1,2,0.5
1230,96.35416666666667,SF,GM,1,2,0.5
1260,96.61458333333333,SF,GM,1,2,0.5
1290,96.65464743589743,SF,GM,1,2,0.5
1320,96.85496794871794,SF,GM,1,2,0.5
1350,96.74479166666667,SF,GM,1,2,0.5
1380,96.73477564102564,SF,GM,1,2,0.5
1410,96.88501602564102,SF,GM,1,2,0.5
1440,96.8349358974359,SF,GM,1,2,0.5
1470,96.93509615384616,SF,GM,1,2,0.5
1500,96.9150641025641,SF,GM,1,2,0.5
30,29.346955128205128,SF,GM,1,3,0.5
60,46.81490384615385,SF,GM,1,3,0.5
90,56.380208333333336,SF,GM,1,3,0.5
120,73.45753205128206,SF,GM,1,3,0.5
150,75.49078525641026,SF,GM,1,3,0.5
180,80.57892628205128,SF,GM,1,3,0.5
210,84.74559294871794,SF,GM,1,3,0.5
240,85.12620192307692,SF,GM,1,3,0.5
270,86.04767628205128,SF,GM,1,3,0.5
300,86.52844551282051,SF,GM,1,3,0.5
330,88.50160256410257,SF,GM,1,3,0.5
360,88.82211538461539,SF,GM,1,3,0.5
390,88.15104166666667,SF,GM,1,3,0.5
420,89.8838141025641,SF,GM,1,3,0.5
450,90.34455128205128,SF,GM,1,3,0.5
480,91.2860576923077,SF,GM,1,3,0.5
510,90.43469551282051,SF,GM,1,3,0.5
540,91.92708333333333,SF,GM,1,3,0.5
570,91.80689102564102,SF,GM,1,3,0.5
600,92.6983173076923,SF,GM,1,3,0.5
630,92.96875,SF,GM,1,3,0.5
660,93.19911858974359,SF,GM,1,3,0.5
690,93.41947115384616,SF,GM,1,3,0.5
720,93.60977564102564,SF,GM,1,3,0.5
750,93.51963141025641,SF,GM,1,3,0.5
780,93.58974358974359,SF,GM,1,3,0.5
810,94.11057692307692,SF,GM,1,3,0.5
840,94.03044871794872,SF,GM,1,3,0.5
870,94.19070512820512,SF,GM,1,3,0.5
900,94.53125,SF,GM,1,3,0.5
930,94.60136217948718,SF,GM,1,3,0.5
960,94.82171474358974,SF,GM,1,3,0.5
990,94.82171474358974,SF,GM,1,3,0.5
1020,94.6113782051282,SF,GM,1,3,0.5
1050,95.30248397435898,SF,GM,1,3,0.5
1080,95.22235576923077,SF,GM,1,3,0.5
