Iterations,Accuracy (%),Attack,Aggregator,seed,f,s
1500,98.13701923076923,GA,FGC,1,4,0
30,58.76402243589744,GA,FGC,1,6,0
60,78.42548076923077,GA,FGC,1,6,0
90,84.89583333333333,GA,FGC,1,6,0
120,85.71714743589743,GA,FGC,1,6,0
150,87.08934294871794,GA,FGC,1,6,0
180,89.38301282051282,GA,FGC,1,6,0
210,90.81530448717949,GA,FGC,1,6,0
240,91.7568108974359,GA,FGC,1,6,0
270,92.20753205128206,GA,FGC,1,6,0
300,93.07892628205128,GA,FGC,1,6,0
330,93.3193108974359,GA,FGC,1,6,0
360,93.78004807692308,GA,FGC,1,6,0
390,94.20072115384616,GA,FGC,1,6,0
420,94.47115384615384,GA,FGC,1,6,0
450,94.70152243589743,GA,FGC,1,6,0
480,95.06209935897436,GA,FGC,1,6,0
510,95.44270833333333,GA,FGC,1,6,0
540,95.67307692307692,GA,FGC,1,6,0
570,95.86338141025641,GA,FGC,1,6,0
600,96.25400641025641,GA,FGC,1,6,0
630,96.43429487179488,GA,FGC,1,6,0
660,96.42427884615384,GA,FGC,1,6,0
690,96.54447115384616,GA,FGC,1,6,0
720,96.76482371794872,GA,FGC,1,6,0
750,96.97516025641026,GA,FGC,1,6,0
780,97.07532051282051,GA,FGC,1,6,0
810,97.1854967948718,GA,FGC,1,6,0
840,97.27564102564102,GA,FGC,1,6,0
870,97.1854967948718,GA,FGC,1,6,0
900,97.39583333333333,GA,FGC,1,6,0
930,97.41586538461539,GA,FGC,1,6,0
960,97.46594551282051,GA,FGC,1,6,0
990,97.5761217948718,GA,FGC,1,6,0
1020,97.7363782051282,GA,FGC,1,6,0
1050,97.75641025641026,GA,FGC,1,6,0
1080,97.82652243589743,GA,FGC,1,6,0
1110,97.74639423076923,GA,FGC,1,6,0
1140,97.83653846153847,GA,FGC,1,6,0
1170,97.9266826923077,GA,FGC,1,6,0
1200,97.97676282051282,GA,FGC,1,6,0
1230,97.90665064102564,GA,FGC,1,6,0
1260,98.05689102564102,GA,FGC,1,6,0
1290,98.09695512820512,GA,FGC,1,6,0
1320,98.07692307692308,GA,FGC,1,6,0
1350,98.14703525641026,GA,FGC,1,6,0
1380,98.11698717948718,GA,FGC,1,6,0
1410,98.15705128205128,GA,FGC,1,6,0
1440,98.3173076923077,GA,FGC,1,6,0
1470,98.28725961538461,GA,FGC,1,6,0
1500,98.3173076923077,GA,FGC,1,6,0
30,62.71033653846154,LF,FGC,1,2,0
60,76.80288461538461,LF,FGC,1,2,0
90,84.34495192307692,LF,FGC,1,2,0
120,87.07932692307692,LF,FGC,1,2,0
150,88.80208333333333,LF,FGC,1,2,0
180,89.5332532051282,LF,FGC,1,2,0
210,90.99559294871794,LF,FGC,1,2,0
240,91.2860576923077,LF,FGC,1,2,0
270,92.46794871794872,LF,FGC,1,2,0
300,92.68830128205128,LF,FGC,1,2,0
330,93.17908653846153,LF,FGC,1,2,0
360,93.77003205128206,LF,FGC,1,2,0
390,93.82011217948718,LF,FGC,1,2,0
420,94.39102564102564,LF,FGC,1,2,0
450,94.56129807692308,LF,FGC,1,2,0
480,94.8417467948718,LF,FGC,1,2,0
510,94.921875,LF,FGC,1,2,0
540,95.24238782051282,LF,FGC,1,2,0
570,95.57291666666667,LF,FGC,1,2,0
600,95.77323717948718,LF,FGC,1,2,0
630,95.90344551282051,LF,FGC,1,2,0
660,96.03365384615384,LF,FGC,1,2,0
690,96.30408653846153,LF,FGC,1,2,0
720,96.484375,LF,FGC,1,2,0
750,96.59455128205128,LF,FGC,1,2,0
780,96.64463141025641,LF,FGC,1,2,0
810,96.70472756410257,LF,FGC,1,2,0
840,96.84495192307692,LF,FGC,1,2,0
870,96.92508012820512,LF,FGC,1,2,0
900,97.12540064102564,LF,FGC,1,2,0
930,97.24559294871794,LF,FGC,1,2,0
960,97.27564102564102,LF,FGC,1,2,0
990,97.36578525641026,LF,FGC,1,2,0
1020,97.39583333333333,LF,FGC,1,2,0
1050,97.3858173076923,LF,FGC,1,2,0
1080,97.50600961538461,LF,FGC,1,2,0
1110,97.6161858974359,LF,FGC,1,2,0
1140,97.68629807692308,LF,FGC,1,2,0
1170,97.70633012820512,LF,FGC,1,2,0
1200,97.72636217948718,LF,FGC,1,2,0
1230,97.78645833333333,LF,FGC,1,2,0
1260,97.7363782051282,LF,FGC,1,2,0
1290,97.84655448717949,LF,FGC,1,2,0
1320,97.94671474358974,LF,FGC,1,2,0
1350,98.06690705128206,LF,FGC,1,2,0
1380,97.99679487179488,LF,FGC,1,2,0
1410,98.046875,LF,FGC,1,2,0
1440,98.01682692307692,LF,FGC,1,2,0
1470,97.94671474358974,LF,FGC,1,2,0
1500,98.02684294871794,LF,FGC,1,2,0
30,56.901041666666664,LF,FGC,1,4,0
60,76.14182692307692,LF,FGC,1,4,0
90,85.21634615384616,LF,FGC,1,4,0
120,87.13942307692308,LF,FGC,1,4,0
