Iterations,Accuracy (%),Attack,Aggregator,seed,niid,s
810,96.69471153846153,GA,FGC,1,0.5,0
840,96.69471153846153,GA,FGC,1,0.5,0
870,96.85496794871794,GA,FGC,1,0.5,0
900,96.90504807692308,GA,FGC,1,0.5,0
930,96.875,GA,FGC,1,0.5,0
960,97.11538461538461,GA,FGC,1,0.5,0
990,97.31570512820512,GA,FGC,1,0.5,0
1020,97.21554487179488,GA,FGC,1,0.5,0
1050,97.3056891025641,GA,FGC,1,0.5,0
1080,97.46594551282051,GA,FGC,1,0.5,0
1110,97.51602564102564,GA,FGC,1,0.5,0
1140,97.50600961538461,GA,FGC,1,0.5,0
1170,97.49599358974359,GA,FGC,1,0.5,0
1200,97.64623397435898,GA,FGC,1,0.5,0
1230,97.80649038461539,GA,FGC,1,0.5,0
1260,97.76642628205128,GA,FGC,1,0.5,0
1290,97.76642628205128,GA,FGC,1,0.5,0
1320,97.82652243589743,GA,FGC,1,0.5,0
1350,97.74639423076923,GA,FGC,1,0.5,0
1380,97.83653846153847,GA,FGC,1,0.5,0
1410,97.85657051282051,GA,FGC,1,0.5,0
1440,97.89663461538461,GA,FGC,1,0.5,0
1470,97.81650641025641,GA,FGC,1,0.5,0
1500,97.99679487179488,GA,FGC,1,0.5,0
30,66.31610576923077,GA,FGC,1,0.6,0
60,81.92107371794872,GA,FGC,1,0.6,0
90,83.34334935897436,GA,FGC,1,0.6,0
120,86.80889423076923,GA,FGC,1,0.6,0
150,88.58173076923077,GA,FGC,1,0.6,0
180,89.21274038461539,GA,FGC,1,0.6,0
210,90.94551282051282,GA,FGC,1,0.6,0
240,91.35616987179488,GA,FGC,1,0.6,0
270,92.2275641025641,GA,FGC,1,0.6,0
300,92.6582532051282,GA,FGC,1,0.6,0
330,93.10897435897436,GA,FGC,1,0.6,0
360,93.51963141025641,GA,FGC,1,0.6,0
390,93.76001602564102,GA,FGC,1,0.6,0
420,93.88020833333333,GA,FGC,1,0.6,0
450,94.40104166666667,GA,FGC,1,0.6,0
480,94.78165064102564,GA,FGC,1,0.6,0
510,94.74158653846153,GA,FGC,1,0.6,0
540,95.10216346153847,GA,FGC,1,0.6,0
570,95.3525641025641,GA,FGC,1,0.6,0
