Iterations,Accuracy (%),ATK,$|\mathcal{B}|$,seed
1320,96.53445512820512,GA,2,1
1350,96.70472756410257,GA,2,1
1380,96.64463141025641,GA,2,1
1410,96.72475961538461,GA,2,1
1440,96.7548076923077,GA,2,1
1470,96.81490384615384,GA,2,1
1500,96.84495192307692,GA,2,1
30,33.62379807692308,GA,3,1
60,72.99679487179488,GA,3,1
90,79.2568108974359,GA,3,1
120,82.14142628205128,GA,3,1
150,85.32652243589743,GA,3,1
180,85.8573717948718,GA,3,1
210,87.91065705128206,GA,3,1
240,88.90224358974359,GA,3,1
270,89.5733173076923,GA,3,1
300,90.22435897435898,GA,3,1
330,91.04567307692308,GA,3,1
360,91.56650641025641,GA,3,1
390,91.57652243589743,GA,3,1
420,92.09735576923077,GA,3,1
450,92.56810897435898,GA,3,1
480,92.8485576923077,GA,3,1
510,93.06891025641026,GA,3,1
540,93.50961538461539,GA,3,1
570,93.68990384615384,GA,3,1
600,93.72996794871794,GA,3,1
630,93.94030448717949,GA,3,1
660,94.03044871794872,GA,3,1
690,94.36097756410257,GA,3,1
720,94.60136217948718,GA,3,1
750,94.8016826923077,GA,3,1
780,94.94190705128206,GA,3,1
810,95.08213141025641,GA,3,1
840,95.08213141025641,GA,3,1
870,95.05208333333333,GA,3,1
900,95.42267628205128,GA,3,1
930,95.57291666666667,GA,3,1
960,95.48277243589743,GA,3,1
990,95.48277243589743,GA,3,1
1020,95.6229967948718,GA,3,1
1050,95.73317307692308,GA,3,1
1080,95.88341346153847,GA,3,1
1110,95.94350961538461,GA,3,1
1140,96.0136217948718,GA,3,1
1170,96.25400641025641,GA,3,1
1200,96.30408653846153,GA,3,1
1230,96.22395833333333,GA,3,1
1260,96.27403846153847,GA,3,1
1290,96.39423076923077,GA,3,1
1320,96.53445512820512,GA,3,1
1350,96.53445512820512,GA,3,1
1380,96.55448717948718,GA,3,1
1410,96.69471153846153,GA,3,1
1440,96.8349358974359,GA,3,1
1470,96.82491987179488,GA,3,1
1500,96.77483974358974,GA,3,1
30,58.122996794871796,GA,4,1
