Iterations,Accuracy (%),ATK,Aggregator,seed,f,niid
30,47.53605769230769,SF,GM,1,3,0.1
60,72.86658653846153,SF,GM,1,3,0.1
90,80.35857371794872,SF,GM,1,3,0.1
120,84.61538461538461,SF,GM,1,3,0.1
150,86.30809294871794,SF,GM,1,3,0.1
180,87.82051282051282,SF,GM,1,3,0.1
210,89.1826923076923,SF,GM,1,3,0.1
240,89.84375,SF,GM,1,3,0.1
270,90.40464743589743,SF,GM,1,3,0.1
300,90.8954326923077,SF,GM,1,3,0.1
330,91.7167467948718,SF,GM,1,3,0.1
360,92.2275641025641,SF,GM,1,3,0.1
390,92.38782051282051,SF,GM,1,3,0.1
420,92.86858974358974,SF,GM,1,3,0.1
450,92.87860576923077,SF,GM,1,3,0.1
480,93.36939102564102,SF,GM,1,3,0.1
510,93.53966346153847,SF,GM,1,3,0.1
540,93.72996794871794,SF,GM,1,3,0.1
570,94.00040064102564,SF,GM,1,3,0.1
600,94.05048076923077,SF,GM,1,3,0.1
630,94.15064102564102,SF,GM,1,3,0.1
660,94.31089743589743,SF,GM,1,3,0.1
690,94.48116987179488,SF,GM,1,3,0.1
720,94.62139423076923,SF,GM,1,3,0.1
750,94.6514423076923,SF,GM,1,3,0.1
780,94.66145833333333,SF,GM,1,3,0.1
810,94.8818108974359,SF,GM,1,3,0.1
840,95.13221153846153,SF,GM,1,3,0.1
870,94.94190705128206,SF,GM,1,3,0.1
900,95.15224358974359,SF,GM,1,3,0.1
930,95.4326923076923,SF,GM,1,3,0.1
960,95.49278846153847,SF,GM,1,3,0.1
990,95.53285256410257,SF,GM,1,3,0.1
1020,95.5829326923077,SF,GM,1,3,0.1
1050,95.56290064102564,SF,GM,1,3,0.1
1080,95.64302884615384,SF,GM,1,3,0.1
1110,95.54286858974359,SF,GM,1,3,0.1
1140,95.92347756410257,SF,GM,1,3,0.1
1170,95.77323717948718,SF,GM,1,3,0.1
1200,95.9735576923077,SF,GM,1,3,0.1
1230,96.02363782051282,SF,GM,1,3,0.1
1260,96.12379807692308,SF,GM,1,3,0.1
1290,96.16386217948718,SF,GM,1,3,0.1
1320,96.2139423076923,SF,GM,1,3,0.1
1350,96.19391025641026,SF,GM,1,3,0.1
1380,96.35416666666667,SF,GM,1,3,0.1
1410,96.5244391025641,SF,GM,1,3,0.1
1440,96.54447115384616,SF,GM,1,3,0.1
1470,96.46434294871794,SF,GM,1,3,0.1
1500,96.46434294871794,SF,GM,1,3,0.1
30,59.485176282051285,SF,GM,1,3,0.2
60,72.70633012820512,SF,GM,1,3,0.2
90,82.43189102564102,SF,GM,1,3,0.2
120,83.49358974358974,SF,GM,1,3,0.2
150,85.77724358974359,SF,GM,1,3,0.2
180,87.07932692307692,SF,GM,1,3,0.2
210,87.7704326923077,SF,GM,1,3,0.2
240,88.43149038461539,SF,GM,1,3,0.2
270,89.7235576923077,SF,GM,1,3,0.2
300,90.05408653846153,SF,GM,1,3,0.2
330,90.30448717948718,SF,GM,1,3,0.2
360,90.95552884615384,SF,GM,1,3,0.2
390,91.39623397435898,SF,GM,1,3,0.2
420,91.73677884615384,SF,GM,1,3,0.2
450,92.01722756410257,SF,GM,1,3,0.2
480,92.2275641025641,SF,GM,1,3,0.2
510,92.28766025641026,SF,GM,1,3,0.2
540,92.90865384615384,SF,GM,1,3,0.2
570,93.10897435897436,SF,GM,1,3,0.2
600,93.36939102564102,SF,GM,1,3,0.2
630,93.45953525641026,SF,GM,1,3,0.2
660,93.4795673076923,SF,GM,1,3,0.2
690,93.80008012820512,SF,GM,1,3,0.2
720,93.88020833333333,SF,GM,1,3,0.2
750,94.19070512820512,SF,GM,1,3,0.2
780,94.42107371794872,SF,GM,1,3,0.2
810,94.62139423076923,SF,GM,1,3,0.2
840,94.71153846153847,SF,GM,1,3,0.2
870,94.58133012820512,SF,GM,1,3,0.2
900,94.90184294871794,SF,GM,1,3,0.2
930,95.07211538461539,SF,GM,1,3,0.2
960,95.18229166666667,SF,GM,1,3,0.2
990,95.17227564102564,SF,GM,1,3,0.2
1020,95.13221153846153,SF,GM,1,3,0.2
1050,95.41266025641026,SF,GM,1,3,0.2
1080,95.54286858974359,SF,GM,1,3,0.2
1110,95.703125,SF,GM,1,3,0.2
1140,95.69310897435898,SF,GM,1,3,0.2
1170,95.6630608974359,SF,GM,1,3,0.2
1200,95.6630608974359,SF,GM,1,3,0.2
1230,95.92347756410257,SF,GM,1,3,0.2
1260,96.08373397435898,SF,GM,1,3,0.2
1290,96.0136217948718,SF,GM,1,3,0.2
1320,96.0536858974359,SF,GM,1,3,0.2
1350,96.03365384615384,SF,GM,1,3,0.2
1380,96.10376602564102,SF,GM,1,3,0.2
1410,96.33413461538461,SF,GM,1,3,0.2
1440,96.22395833333333,SF,GM,1,3,0.2
1470,96.06370192307692,SF,GM,1,3,0.2
1500,96.29407051282051,SF,GM,1,3,0.2
30,61.197916666666664,SF,GM,1,3,0.3
60,73.66786858974359,SF,GM,1,3,0.3
90,79.54727564102564,SF,GM,1,3,0.3
120,82.31169871794872,SF,GM,1,3,0.3
150,83.44350961538461,SF,GM,1,3,0.3
180,85.5068108974359,SF,GM,1,3,0.3
210,86.30809294871794,SF,GM,1,3,0.3
240,87.57011217948718,SF,GM,1,3,0.3
270,87.5,SF,GM,1,3,0.3
300,89.07251602564102,SF,GM,1,3,0.3
330,89.56330128205128,SF,GM,1,3,0.3
360,89.94391025641026,SF,GM,1,3,0.3
390,90.57491987179488,SF,GM,1,3,0.3
420,91.21594551282051,SF,GM,1,3,0.3
450,91.62660256410257,SF,GM,1,3,0.3
480,91.72676282051282,SF,GM,1,3,0.3
510,92.23758012820512,SF,GM,1,3,0.3
540,92.578125,SF,GM,1,3,0.3
570,92.87860576923077,SF,GM,1,3,0.3
600,92.91866987179488,SF,GM,1,3,0.3
630,93.22916666666667,SF,GM,1,3,0.3
660,93.41947115384616,SF,GM,1,3,0.3
690,93.51963141025641,SF,GM,1,3,0.3
720,93.56971153846153,SF,GM,1,3,0.3
750,93.86017628205128,SF,GM,1,3,0.3
780,93.96033653846153,SF,GM,1,3,0.3
810,94.15064102564102,SF,GM,1,3,0.3
840,94.37099358974359,SF,GM,1,3,0.3
